id,admin_name,left,top,width,height,center_x,center_y,drop_x,drop_y,drop_x,drop_y
ROU,Romania,2270,637,125,70,2332.5,672.0,2323.8863640092563,671.7247511551997,2323.8863640092563,671.7247511551997
RUS,Russia,0,255,4096,480,2048.0,495.0,3053.653006666101,518.0915163761771,3053.653006666101,518.0915163761771
RWA,Rwanda,2368,1199,40,37,2388.0,1217.5,2389.1142762554055,1216.8228622620436,2389.1142762554055,1216.8228622620436
KNA,Saint Kitts and Nevis,1325,989,20,20,1335.0,999.0,1334.0504445492163,997.633028863999,1334.0504445492163,997.633028863999
LCA,Saint Lucia,1345,1026,19,22,1354.5,1037.0,1354.2092709916355,1036.3658992355547,1354.2092709916355,1036.3658992355547
VCT,Saint Vincent and the Grenadines,1341,1034,21,26,1351.5,1047.0,1351.7135863342967,1043.7612696063993,1351.7135863342967,1043.7612696063993
WSM,Samoa,74,1340,32,24,90.0,1352.0,86.12328059019703,1349.807102941866,86.12328059019703,1349.807102941866
SMR,San Marino,2181,686,18,18,2190.0,695.0,2189.519017139984,694.7933099747548,2189.519017139984,694.7933099747548
STP,São Tomé and Principe,2114,1167,28,36,2128.0,1185.0,2123.106839077843,1192.214510347377,2123.106839077843,1192.214510347377
SAU,Saudi Arabia,2433,821,257,196,2561.5,919.0,2556.1654309651713,918.8222683989327,2556.1654309651713,918.8222683989327
SEN,Senegal,1840,997,88,67,1884.0,1030.5,1881.2331273769025,1029.8188425557328,1881.2331273769025,1029.8188425557328
SRB,Republic of Serbia,2254,661,65,62,2286.5,692.0,2286.901938164727,691.7043206030215,2286.901938164727,691.7043206030215
SYC,Seychelles,2566,1230,131,85,2631.5,1272.5,2575.355432767884,1300.9533992391102,2575.355432767884,1300.9533992391102
SLE,Sierra Leone,1889,1073,51,52,1914.5,1099.0,1912.7160437286213,1098.4147684863992,1912.7160437286213,1098.4147684863992
SGP,Singapore,3219,1170,21,19,3229.5,1179.5,3229.3608270502855,1179.1411307178662,3229.3608270502855,1179.1411307178662
SVK,Slovakia,2232,622,81,38,2272.5,641.0,2271.516892277982,640.8572835612438,2271.516892277982,640.8572835612438
SVN,Slovenia,2192,653,53,34,2218.5,670.0,2214.2968890400402,669.5798622606216,2214.2968890400402,669.5798622606216
SLB,Solomon Islands,3809,1262,169,82,3893.5,1303.0,3870.130085831235,1303.7649733119988,3870.130085831235,1303.7649733119988
SOM,Somalia,2506,1050,136,173,2574.0,1136.5,2579.992213117286,1136.3219582975992,2579.992213117286,1136.3219582975992
ZAF,South Africa,2227,1438,262,300,2358.0,1588.0,2345.1977005974354,1518.6442418972433,2345.1977005974354,1518.6442418972433
SSD,South Sudan,2314,1048,152,116,2390.0,1106.0,2379.295777647626,1105.2618877269322,2379.295777647626,1105.2618877269322
ESP,Spain,1833,688,273,201,1969.5,788.5,2008.444866125586,740.6992881607108,2008.444866125586,740.6992881607108
LKA,Sri Lanka,2946,1075,43,61,2967.5,1105.5,2965.814969348527,1105.0223807146656,2965.814969348527,1105.0223807146656
SDN,Sudan,2288,934,208,171,2392.0,1019.5,2386.799715272224,1018.8732245390216,2386.799715272224,1018.8732245390216
SUR,Suriname,1379,1118,64,65,1411.0,1150.5,1409.4938965296244,1149.9971967544882,1409.4938965296244,1149.9971967544882
SWE,Sweden,2166,401,166,173,2249.0,487.5,2217.5871148314845,487.0311770111995,2217.5871148314845,487.0311770111995
CHE,Switzerland,2108,643,68,39,2142.0,662.5,2143.8805391706474,662.0507025464883,2143.8805391706474,662.0507025464883
SYR,Syria,2446,762,93,74,2492.5,799.0,2486.7478620301827,798.6274687146656,2486.7478620301827,798.6274687146656
TJK,Tajikistan,2806,720,106,66,2859.0,753.0,2855.003505618135,752.5133611064882,2855.003505618135,752.5133611064882
TZA,United Republic of Tanzania,2374,1198,143,139,2445.5,1267.5,2437.2208502283643,1266.962406217955,2437.2208502283643,1266.962406217955
